Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Foundations of Business I-ECON,MBA 501,272,50%,48%,2%,0%,0%,0%,3.47,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/501
Foundations of Bus I-ECON,MBA 501,273,51%,45%,4%,0%,0%,0%,3.46,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/501
Foundations of Bus I-LPO,MBA 501,40,42%,58%,0%,0%,0%,0%,3.46,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/501
Foundations of Business I-LPO,MBA 501,39,33%,67%,0%,0%,0%,0%,3.36,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/501
Foundations of Bus I-MKT,MBA 501,548,53%,47%,0%,0%,0%,0%,3.53,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/501
Foundations of Bus II-ACC,MBA 502,542,70%,30%,0%,0%,0%,0%,3.66,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/502
Foundations of Bus II-COMM,MBA 502,544,38%,58%,4%,0%,0%,0%,3.32,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/502
Foundations of Bus II-MKT,MBA 502,546,78%,22%,1%,0%,0%,0%,3.73,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/502
Foundations of Bus II-MSP,MBA 502,548,45%,51%,4%,0%,0%,0%,3.38,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/502
Foundations of Bus II-OTD,MBA 502,552,55%,45%,0%,0%,0%,0%,3.53,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/502
MCB Merit Workshop,MCB 199,22,86%,9%,0%,5%,0%,0%,3.73,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/199
Music Theory and Practice I,MUS 101,173,21%,35%,27%,5%,12%,1%,2.43,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/101
Concert Band,MUS 272,301,94%,4%,2%,0%,0%,0%,3.89,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/272
Adv Conducting/Tch Strats-Orch,MUS 333,22,45%,36%,9%,0%,9%,0%,3.08,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/333
Genre Studies in Musicology,MUS 411,104,70%,25%,3%,1%,0%,1%,3.61,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/411
Regional Studies in Musicology,MUS 418,70,73%,17%,7%,3%,0%,0%,3.57,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/418
String Instrument Literature,MUS 560,21,43%,29%,29%,0%,0%,0%,3.14,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/560
Monte Carlo Simulation,NPRE 498,27,67%,19%,11%,4%,0%,0%,3.51,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/498
Modern Atomic Physics,PHYS 514,37,89%,11%,0%,0%,0%,0%,3.79,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/514
Comparative Political Economy,PS 356,91,55%,43%,1%,0%,1%,0%,3.53,PS,https://courses.illinois.edu/schedule/2018/fall/PS/356
Intl Rel & Domestic Politics,PS 379,111,65%,26%,5%,1%,2%,1%,3.48,PS,https://courses.illinois.edu/schedule/2018/fall/PS/379
Formal Theory I: Game Theory,PS 525,67,90%,9%,1%,0%,0%,0%,3.88,PS,https://courses.illinois.edu/schedule/2018/fall/PS/525
Soc Psych in Nat Settings,PSYC 333,239,56%,35%,7%,0%,1%,0%,3.44,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/333
Understanding Suicide,PSYC 370,170,71%,29%,0%,0%,0%,0%,3.64,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/370
False Memory,PSYC 396,139,68%,23%,9%,0%,0%,1%,3.56,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/396
Human Perform & Engrg Psych,PSYC 456,378,51%,29%,12%,6%,1%,1%,3.22,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/456
Found of Ind Org Psych,PSYC 530,77,91%,8%,1%,0%,0%,0%,3.87,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/530
Archaeology and the Bible,RLST 106,51,65%,20%,10%,2%,4%,0%,3.34,RLST,https://courses.illinois.edu/schedule/2018/fall/RLST/106
Qur'an Structure and Exegesis,RLST 223,120,54%,42%,2%,0%,2%,0%,3.44,RLST,https://courses.illinois.edu/schedule/2018/fall/RLST/223
Religion and Philosophy,RLST 231,74,45%,32%,16%,5%,0%,1%,3.11,RLST,https://courses.illinois.edu/schedule/2018/fall/RLST/231
Play Across the Lifespan,RST 199,37,24%,35%,27%,8%,5%,0%,2.69,RST,https://courses.illinois.edu/schedule/2018/fall/RST/199
Event Management,RST 518,28,68%,32%,0%,0%,0%,0%,3.6,RST,https://courses.illinois.edu/schedule/2018/fall/RST/518
Vikings & Volvos: Scan Culture,SCAN 225,134,84%,12%,4%,1%,0%,0%,3.78,SCAN,https://courses.illinois.edu/schedule/2018/fall/SCAN/225
Globalization Dynamics Debates,SOC 367,51,35%,39%,20%,2%,0%,4%,3.09,SOC,https://courses.illinois.edu/schedule/2018/fall/SOC/367
Iberian Culture & History,SPAN 318,21,81%,14%,5%,0%,0%,0%,3.65,SPAN,https://courses.illinois.edu/schedule/2018/fall/SPAN/318
Literacy,SPED 199,34,71%,26%,3%,0%,0%,0%,3.62,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/199
Augmentative Communication,SPED 461,144,84%,12%,3%,1%,0%,0%,3.79,SPED,https://courses.illinois.edu/schedule/2018/fall/SPED/461
Introduction to Innovation A,TE 298,22,82%,9%,9%,0%,0%,0%,3.67,TE,https://courses.illinois.edu/schedule/2018/fall/TE/298
Introduction to Innovation B,TE 298,26,77%,19%,4%,0%,0%,0%,3.74,TE,https://courses.illinois.edu/schedule/2018/fall/TE/298
Introduction to Innovation C,TE 298,21,86%,14%,0%,0%,0%,0%,3.86,TE,https://courses.illinois.edu/schedule/2018/fall/TE/298
Introduction to Innovation D,TE 298,22,91%,5%,0%,0%,5%,0%,3.71,TE,https://courses.illinois.edu/schedule/2018/fall/TE/298
Terminology and CAT,TRST 407,51,71%,24%,2%,4%,0%,0%,3.57,TRST,https://courses.illinois.edu/schedule/2018/fall/TRST/407
Intro International Planning,UP 423,143,73%,22%,4%,0%,1%,0%,3.62,UP,https://courses.illinois.edu/schedule/2018/fall/UP/423
Avian Medicine and Surgery,VCM 649,23,91%,9%,0%,0%,0%,0%,3.91,VCM,https://courses.illinois.edu/schedule/2018/fall/VCM/649
Land & Water Resources Engrg,ABE 456,43,84%,14%,2%,0%,0%,0%,3.82,ABE,https://courses.illinois.edu/schedule/2018/fall/ABE/456
Digital Advertising,ADV 490,75,88%,12%,0%,0%,0%,0%,3.76,ADV,https://courses.illinois.edu/schedule/2018/fall/ADV/490
Quanti Research Methods in Adv,ADV 581,35,43%,57%,0%,0%,0%,0%,3.43,ADV,https://courses.illinois.edu/schedule/2018/fall/ADV/581
Graduate Seminar II,ADV 588,25,64%,36%,0%,0%,0%,0%,3.61,ADV,https://courses.illinois.edu/schedule/2018/fall/ADV/588
Black Women and Film,AFRO 381,27,81%,15%,4%,0%,0%,0%,3.79,AFRO,https://courses.illinois.edu/schedule/2018/fall/AFRO/381
Intro to Ag & Leadership Ed,AGED 100,93,76%,13%,6%,0%,3%,1%,3.6,AGED,https://courses.illinois.edu/schedule/2018/fall/AGED/100
Intro to American Indian Lit,AIS 265,24,88%,8%,0%,0%,0%,4%,3.91,AIS,https://courses.illinois.edu/schedule/2018/fall/AIS/265
The Archaeology of Illinois,ANTH 157,33,48%,33%,9%,9%,0%,0%,3.22,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/157
Climate Change & Civilization,ANTH 278,51,73%,18%,10%,0%,0%,0%,3.62,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/278
Special Topics in French Arch,ARCH 409,270,53%,46%,1%,0%,0%,0%,3.5,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/409
Soc/Beh Factors for Design,ARCH 423,46,87%,13%,0%,0%,0%,0%,3.83,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/423
Adv Steel Design,ARCH 554,43,88%,9%,2%,0%,0%,0%,3.78,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/554
Fashion Design,ART 299,21,95%,5%,0%,0%,0%,0%,3.94,ART,https://courses.illinois.edu/schedule/2018/fall/ART/299
Spec Topics in Design Courses,ARTD 299,22,95%,5%,0%,0%,0%,0%,3.97,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/299
Sustainable Product Design,ARTD 326,37,54%,32%,14%,0%,0%,0%,3.37,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/326
Advanced Graphic Design II,ARTD 411,67,66%,30%,4%,0%,0%,0%,3.59,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/411
Seminar in Design,ARTD 445,77,58%,32%,6%,1%,0%,1%,3.46,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/445
Special Topics in Design,ARTD 499,127,44%,43%,4%,2%,8%,0%,3.13,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/499
Medieval Art,ARTH 222,83,53%,27%,11%,6%,1%,2%,3.25,ARTH,https://courses.illinois.edu/schedule/2018/fall/ARTH/222
Intermediate Studio II,ARTS 351,48,62%,29%,8%,0%,0%,0%,3.51,ARTS,https://courses.illinois.edu/schedule/2018/fall/ARTS/351
Advanced Studio II,ARTS 451,50,70%,26%,2%,2%,0%,0%,3.61,ARTS,https://courses.illinois.edu/schedule/2018/fall/ARTS/451
Jet Aircraft System and Ops I,AVI 384,22,36%,36%,27%,0%,0%,0%,3.11,AVI,https://courses.illinois.edu/schedule/2018/fall/AVI/384
E-Business Management,BADM 351,66,74%,26%,0%,0%,0%,0%,3.67,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/351
Foundations of Entrep.,BADM 395,23,87%,13%,0%,0%,0%,0%,3.83,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/395
International Study,BADM 590,117,95%,3%,2%,0%,0%,0%,3.88,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Signals & Systems in BIOE,BIOE 298,44,23%,59%,14%,5%,0%,0%,2.96,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/298
Comp Tools For Bio Data,BIOE 398,45,96%,2%,2%,0%,0%,0%,3.89,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/398
Advanced Bioinstrumentation,BIOE 507,22,91%,9%,0%,0%,0%,0%,3.91,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/507
Quantitative Biotechnology,BIOE 598,23,57%,35%,9%,0%,0%,0%,3.48,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/598
Remediation Design,CEE 540,24,92%,4%,0%,0%,0%,4%,3.9,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/540
Health Policy: United States,CHLH 550,61,95%,5%,0%,0%,0%,0%,3.94,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/550
Curriculum Research,CI 509,22,91%,5%,0%,0%,0%,5%,3.94,CI,https://courses.illinois.edu/schedule/2018/fall/CI/509
Arts in EC: Curr in Context,CI 522,22,91%,9%,0%,0%,0%,0%,3.86,CI,https://courses.illinois.edu/schedule/2018/fall/CI/522
Classical Allusions in Cinema,CLCV 206,116,91%,5%,2%,1%,1%,1%,3.84,CLCV,https://courses.illinois.edu/schedule/2018/fall/CLCV/206
Oral & Written Comm II,CMN 112,829,70%,25%,4%,0%,0%,0%,3.62,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/112
Oral Narr: Social Use of Story,CMN 361,22,23%,59%,14%,0%,0%,5%,2.92,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/361
Popular Media and Culture,CMN 375,1217,41%,41%,14%,3%,1%,0%,3.18,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/375
Current Trends in Mass Comm,CMN 396,60,35%,33%,17%,10%,5%,0%,2.78,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/396
Adv Topics in Public Discourse,CMN 450,53,57%,30%,6%,6%,2%,0%,3.29,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/450
Adv Topics in Communication,CMN 496,760,51%,31%,12%,3%,2%,1%,3.25,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/496
Hlth Cpgns Making a Difference,CMN 496,21,76%,24%,0%,0%,0%,0%,3.68,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/496
"Culture, Industry & Econ Crisi",CMN 496,32,25%,59%,16%,0%,0%,0%,3.04,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/496
Risk Communication,CMN 496,24,17%,46%,25%,4%,8%,0%,2.54,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/496
Gender and Performance,CMN 496,24,25%,42%,29%,0%,0%,4%,3.01,CMN,https://courses.illinois.edu/schedule/2018/fall/CMN/496
Crop Growth and Development,CPSC 518,32,72%,28%,0%,0%,0%,0%,3.67,CPSC,https://courses.illinois.edu/schedule/2018/fall/CPSC/518
Intro to Parallel Programming,CS 498,30,20%,37%,33%,10%,0%,0%,2.7,CS,https://courses.illinois.edu/schedule/2018/fall/CS/498
Art and Science of Web Progrm,CS 498,36,78%,14%,8%,0%,0%,0%,3.61,CS,https://courses.illinois.edu/schedule/2018/fall/CS/498
Lit Europe and the Americas II,CWL 242,67,58%,25%,9%,0%,6%,1%,3.3,CWL,https://courses.illinois.edu/schedule/2018/fall/CWL/242
Jazz 1,DANC 105,31,97%,3%,0%,0%,0%,0%,3.97,DANC,https://courses.illinois.edu/schedule/2018/fall/DANC/105
Int/Adv Modern Tech Core,DANC 360,150,61%,31%,4%,2%,1%,1%,3.46,DANC,https://courses.illinois.edu/schedule/2018/fall/DANC/360
Colloquium in EALC,EALC 398,67,66%,22%,6%,0%,3%,3%,3.46,EALC,https://courses.illinois.edu/schedule/2018/fall/EALC/398
Exploring Digital Info Technol,ECE 101,135,48%,32%,10%,5%,3%,1%,3.14,ECE,https://courses.illinois.edu/schedule/2018/fall/ECE/101
Optimum Control Systems,ECE 553,42,93%,7%,0%,0%,0%,0%,3.91,ECE,https://courses.illinois.edu/schedule/2018/fall/ECE/553
Behavioral Economics,ECON 490,23,48%,48%,4%,0%,0%,0%,3.52,ECON,https://courses.illinois.edu/schedule/2018/fall/ECON/490
Econometric Analysis,ECON 507,97,60%,37%,1%,0%,0%,2%,3.53,ECON,https://courses.illinois.edu/schedule/2018/fall/ECON/507
Econ of Development and Growth,ECON 550,62,81%,13%,6%,0%,0%,0%,3.65,ECON,https://courses.illinois.edu/schedule/2018/fall/ECON/550
MATLAB & Excel Essentials,ENG 198,44,77%,14%,7%,2%,0%,0%,3.6,ENG,https://courses.illinois.edu/schedule/2018/fall/ENG/198
Interdisciplinary Design Proj,ENG 491,94,72%,22%,4%,0%,1%,0%,3.59,ENG,https://courses.illinois.edu/schedule/2018/fall/ENG/491
Victorian Lit and Culture,ENGL 208,177,51%,41%,5%,2%,0%,2%,3.38,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/208
Survey of American Lit II,ENGL 256,212,76%,21%,1%,0%,0%,0%,3.7,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/256
Serial Vampire,ENGL 274,24,54%,42%,0%,0%,0%,4%,3.51,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/274
Feminist British Novel,ENGL 281,37,49%,49%,0%,0%,0%,3%,3.51,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/281
Rise of the Graphic Novel,ENGL 300,21,33%,67%,0%,0%,0%,0%,3.36,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/300
American Film Genres,ENGL 300,25,20%,68%,4%,0%,4%,4%,3.08,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/300
Critical Approaches to Lit,ENGL 301,777,65%,28%,3%,1%,2%,1%,3.5,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/301
The Queer 80's,ENGL 325,30,83%,17%,0%,0%,0%,0%,3.86,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/325
The Disney Phenomenon,ENGL 373,25,72%,24%,4%,0%,0%,0%,3.56,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/373
Language and the Law,ENGL 380,32,47%,44%,0%,0%,6%,3%,3.26,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/380
Milton,ENGL 423,23,48%,39%,9%,0%,0%,4%,3.42,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/423
British Lit Since 1930,ENGL 442,90,68%,27%,1%,2%,2%,0%,3.51,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/442
American Lit 1945-Present,ENGL 452,59,58%,29%,7%,0%,3%,3%,3.35,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/452
Edith Wharton,ENGL 455,30,50%,33%,0%,3%,10%,3%,3.16,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/455
Jane Austen,ENGL 455,28,50%,43%,0%,0%,7%,0%,3.18,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/455
"Lit, Video Games & Zombies",ENGL 475,35,71%,29%,0%,0%,0%,0%,3.57,ENGL,https://courses.illinois.edu/schedule/2018/fall/ENGL/475
Educational Finance,EOL 546,44,68%,32%,0%,0%,0%,0%,3.71,EOL,https://courses.illinois.edu/schedule/2018/fall/EOL/546
Politics of Education,EPS 423,22,86%,9%,5%,0%,0%,0%,3.76,EPS,https://courses.illinois.edu/schedule/2018/fall/EPS/423
Intro to Evaluation Methods,EPSY 471,27,85%,15%,0%,0%,0%,0%,3.75,EPSY,https://courses.illinois.edu/schedule/2018/fall/EPSY/471
Intl Financial Markets,FIN 451,23,48%,52%,0%,0%,0%,0%,3.45,FIN,https://courses.illinois.edu/schedule/2018/fall/FIN/451
Hedge Funds,FIN 580,169,66%,34%,0%,0%,0%,0%,3.61,FIN,https://courses.illinois.edu/schedule/2018/fall/FIN/580
Entrepreneurship and VC,FIN 580,34,53%,47%,0%,0%,0%,0%,3.54,FIN,https://courses.illinois.edu/schedule/2018/fall/FIN/580
Real Estate Investmnt Analysis,FIN 580,36,97%,3%,0%,0%,0%,0%,3.94,FIN,https://courses.illinois.edu/schedule/2018/fall/FIN/580
French Civilization I,FR 435,21,43%,24%,19%,10%,5%,0%,2.89,FR,https://courses.illinois.edu/schedule/2018/fall/FR/435
Intl Environ Cooperation,GEOG 481,45,60%,36%,4%,0%,0%,0%,3.44,GEOG,https://courses.illinois.edu/schedule/2018/fall/GEOG/481
Grimms' Fairy Tales in Context,GER 250,316,72%,24%,3%,1%,0%,0%,3.61,GER,https://courses.illinois.edu/schedule/2018/fall/GER/250
Foundations of Research,GLBL 200,23,74%,22%,4%,0%,0%,0%,3.61,GLBL,https://courses.illinois.edu/schedule/2018/fall/GLBL/200
Global Politics of African ...,GLBL 296,22,41%,27%,27%,0%,5%,0%,2.92,GLBL,https://courses.illinois.edu/schedule/2018/fall/GLBL/296
Non-Western Wars and their ...,GLBL 296,24,33%,25%,12%,25%,4%,0%,2.54,GLBL,https://courses.illinois.edu/schedule/2018/fall/GLBL/296
Multinational Corporations:,GLBL 296,47,74%,23%,2%,0%,0%,0%,3.69,GLBL,https://courses.illinois.edu/schedule/2018/fall/GLBL/296
Moral Philosophy & Immigration,GLBL 296,21,76%,14%,10%,0%,0%,0%,3.62,GLBL,https://courses.illinois.edu/schedule/2018/fall/GLBL/296
Intl Humanitarian Intervention,GLBL 296,81,86%,9%,0%,0%,4%,1%,3.77,GLBL,https://courses.illinois.edu/schedule/2018/fall/GLBL/296
Memoir & Autobiography,GWS 333,24,62%,21%,17%,0%,0%,0%,3.54,GWS,https://courses.illinois.edu/schedule/2018/fall/GWS/333
Britain and World Since 1688,HIST 256,114,38%,40%,17%,4%,2%,0%,3.12,HIST,https://courses.illinois.edu/schedule/2018/fall/HIST/256
US Native Americans Since 1850,HIST 278,186,64%,23%,10%,2%,0%,1%,3.44,HIST,https://courses.illinois.edu/schedule/2018/fall/HIST/278
19thC Romanticism & Politics,HIST 350,30,50%,40%,7%,3%,0%,0%,3.28,HIST,https://courses.illinois.edu/schedule/2018/fall/HIST/350
Russia- Peter the Great to Rev,HIST 461,125,46%,50%,2%,2%,1%,0%,3.35,HIST,https://courses.illinois.edu/schedule/2018/fall/HIST/461
Training in Business/Industry,HRE 401,252,56%,36%,6%,0%,2%,0%,3.4,HRE,https://courses.illinois.edu/schedule/2018/fall/HRE/401
Analyzing Work for HRD,HRE 490,27,19%,81%,0%,0%,0%,0%,3.17,HRE,https://courses.illinois.edu/schedule/2018/fall/HRE/490
Ecological Genetics,IB 405,41,49%,46%,5%,0%,0%,0%,3.47,IB,https://courses.illinois.edu/schedule/2018/fall/IB/405
Comparative Vertebrate Anatomy,IB 433,21,48%,38%,14%,0%,0%,0%,3.38,IB,https://courses.illinois.edu/schedule/2018/fall/IB/433
Quality Engineering,IE 431,85,53%,45%,2%,0%,0%,0%,3.51,IE,https://courses.illinois.edu/schedule/2018/fall/IE/431
Law and Communications,JOUR 411,271,22%,40%,30%,8%,0%,0%,2.76,JOUR,https://courses.illinois.edu/schedule/2018/fall/JOUR/411
Site Design Studio,LA 234,21,19%,62%,10%,5%,5%,0%,2.73,LA,https://courses.illinois.edu/schedule/2018/fall/LA/234
Behavioral Factors in Design,LA 270,44,43%,39%,16%,0%,2%,0%,3.16,LA,https://courses.illinois.edu/schedule/2018/fall/LA/270
Design Communications II,LA 281,77,43%,48%,5%,4%,0%,0%,3.28,LA,https://courses.illinois.edu/schedule/2018/fall/LA/281
Directed Research,LA 590,22,64%,36%,0%,0%,0%,0%,3.61,LA,https://courses.illinois.edu/schedule/2018/fall/LA/590
Health Law Policy,LAW 620,27,37%,63%,0%,0%,0%,0%,3.41,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/620
Securities Litigation,LAW 635,30,73%,27%,0%,0%,0%,0%,3.72,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/635
Collective Bargaining in Sport,LAW 792,61,43%,54%,3%,0%,0%,0%,3.41,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/792
Energy & Nat Res Trans,LAW 792,22,50%,41%,5%,0%,5%,0%,3.3,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/792
Law & Sexuality,LAW 792,28,39%,50%,7%,0%,0%,4%,3.33,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/792
Business Strategy,LAW 794,52,33%,63%,2%,0%,0%,2%,3.42,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/794
Int'l Commercial Arbitration,LAW 796,46,50%,48%,2%,0%,0%,0%,3.53,LAW,https://courses.illinois.edu/schedule/2018/fall/LAW/796
Globalization and Workers,LER 200,46,48%,33%,9%,7%,4%,0%,3.09,LER,https://courses.illinois.edu/schedule/2018/fall/LER/200
"Gender, Race, Class and Work",LER 320,126,56%,22%,10%,6%,4%,1%,3.19,LER,https://courses.illinois.edu/schedule/2018/fall/LER/320
Museum Informatics,LIS 490,68,91%,6%,1%,0%,1%,0%,3.8,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/490
School Library Media Center,LIS 516,21,95%,5%,0%,0%,0%,0%,3.95,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/516
Library and Museum Exhibitions,LIS 590,47,83%,11%,2%,2%,0%,2%,3.77,LIS,https://courses.illinois.edu/schedule/2018/fall/LIS/590
"Race, Gender and the Body",LLS 387,84,76%,20%,1%,0%,2%,0%,3.65,LLS,https://courses.illinois.edu/schedule/2018/fall/LLS/387
Contemporary Cinema,MACS 395,28,54%,46%,0%,0%,0%,0%,3.52,MACS,https://courses.illinois.edu/schedule/2018/fall/MACS/395
Symbolic Computation Lab,MATH 290,623,65%,23%,7%,3%,2%,0%,3.42,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/290
Topology,MATH 525,22,77%,0%,14%,5%,0%,5%,3.57,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/525
Algebraic Number Theory,MATH 530,25,84%,16%,0%,0%,0%,0%,3.87,MATH,https://courses.illinois.edu/schedule/2018/fall/MATH/530
Managing People&Organizations,MBA 503,313,41%,58%,0%,0%,0%,0%,3.39,MBA,https://courses.illinois.edu/schedule/2018/fall/MBA/503
Developmental Biology,MCB 410,37,30%,51%,19%,0%,0%,0%,3.1,MCB,https://courses.illinois.edu/schedule/2018/fall/MCB/410
Corrosion of Metals,MSE 445,22,50%,23%,23%,5%,0%,0%,3.18,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/445
Aural Skills IV,MUS 208,48,12%,52%,25%,6%,2%,2%,2.75,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/208
Harding Symphonic Band,MUS 270,44,98%,2%,0%,0%,0%,0%,3.98,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/270
Music and Society,MUS 414,21,62%,29%,5%,5%,0%,0%,3.48,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/414
Wild Animal Planet,NRES 199,43,63%,23%,14%,0%,0%,0%,3.5,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/199
Sea Power and Maritime Affairs,NS 102,22,55%,27%,14%,5%,0%,0%,3.32,NS,https://courses.illinois.edu/schedule/2018/fall/NS/102
Biological Physics,PHYS 475,29,48%,38%,14%,0%,0%,0%,3.33,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/475
IntroPolitics of Globalization,PS 180,93,28%,53%,17%,2%,0%,0%,3.05,PS,https://courses.illinois.edu/schedule/2018/fall/PS/180
State and Local Politics,PS 199,23,22%,43%,26%,4%,0%,4%,2.83,PS,https://courses.illinois.edu/schedule/2018/fall/PS/199
Environ Chges & the Midwest,PS 300,22,41%,50%,9%,0%,0%,0%,3.32,PS,https://courses.illinois.edu/schedule/2018/fall/PS/300
Future Politics,PS 300,24,83%,12%,4%,0%,0%,0%,3.71,PS,https://courses.illinois.edu/schedule/2018/fall/PS/300
Democracy and Peace,PS 300,26,58%,15%,15%,8%,4%,0%,3.18,PS,https://courses.illinois.edu/schedule/2018/fall/PS/300
Congress and Foreign Policy,PS 313,51,14%,69%,16%,0%,2%,0%,2.87,PS,https://courses.illinois.edu/schedule/2018/fall/PS/313
Intl Political Economy,PS 382,77,45%,49%,3%,0%,3%,0%,3.35,PS,https://courses.illinois.edu/schedule/2018/fall/PS/382
Job Placement Techniques,REHB 435,150,73%,17%,9%,1%,0%,0%,3.61,REHB,https://courses.illinois.edu/schedule/2018/fall/REHB/435
History of the Bible,RLST 203,47,53%,30%,11%,4%,2%,0%,3.21,RLST,https://courses.illinois.edu/schedule/2018/fall/RLST/203
Mystic and Saints in Islam,RLST 260,22,86%,14%,0%,0%,0%,0%,3.89,RLST,https://courses.illinois.edu/schedule/2018/fall/RLST/260
Intro to Rural Society,RSOC 110,122,68%,22%,8%,0%,2%,0%,3.55,RSOC,https://courses.illinois.edu/schedule/2018/fall/RSOC/110
New Scandinavian Cinema,SCAN 492,21,43%,43%,10%,5%,0%,0%,3.18,SCAN,https://courses.illinois.edu/schedule/2018/fall/SCAN/492
Russ & E Euro Science Fiction,SLAV 117,116,66%,34%,0%,0%,0%,0%,3.69,SLAV,https://courses.illinois.edu/schedule/2018/fall/SLAV/117
Current Topics in Social Work,SOCW 380,52,94%,6%,0%,0%,0%,0%,3.9,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/380
Substance Abuse Trt in S W,SOCW 504,25,92%,8%,0%,0%,0%,0%,3.91,SOCW,https://courses.illinois.edu/schedule/2018/fall/SOCW/504
