Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Off-Campus Internship,ANSC 398,127,95%,2%,1%,0%,1%,1%,3.92,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/398
Beef Production,ANSC 401,402,74%,21%,4%,0%,0%,0%,3.72,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/401
Ruminant Nutrition,ANSC 420,450,35%,41%,19%,4%,1%,0%,3.04,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/420
Advanced Reproductive Biology,ANSC 431,517,50%,33%,14%,2%,1%,0%,3.31,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/431
Statistical Methods,ANSC 445,77,92%,6%,1%,0%,0%,0%,3.87,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/445
Animal Growth and Development,ANSC 452,361,73%,21%,4%,1%,0%,1%,3.69,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/452
Applied Animal Ecology,ANSC 467,402,79%,17%,3%,0%,0%,0%,3.74,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/467
Integrating Animal Sciences,ANSC 498,737,90%,8%,1%,0%,0%,0%,3.89,ANSC,https://courses.illinois.edu/schedule/2018/fall/ANSC/498
Introduction to Anthropology,ANTH 101,5035,48%,31%,14%,4%,2%,1%,3.17,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/101
Anthro in a Changing World,ANTH 103,6686,45%,39%,11%,2%,2%,0%,3.18,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/103
Talking Culture,ANTH 104,265,60%,30%,6%,2%,2%,0%,3.42,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/104
Biology of Human Behavior,ANTH 143,10687,69%,21%,6%,2%,2%,0%,3.5,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/143
The Archaeology of Death,ANTH 180,2120,54%,28%,13%,3%,1%,1%,3.3,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/180
Sociocultural Anthropology,ANTH 230,859,52%,34%,8%,3%,3%,0%,3.29,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/230
Human Biological Variation,ANTH 241,22,59%,27%,9%,0%,5%,0%,3.32,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/241
Forensic Science,ANTH 246,2314,65%,23%,8%,2%,2%,0%,3.47,ANTH,https://courses.illinois.edu/schedule/2018/fall/ANTH/246
Lang&Culture of Arab World,ARAB 150,615,71%,14%,6%,3%,6%,0%,3.41,ARAB,https://courses.illinois.edu/schedule/2018/fall/ARAB/150
Introduction to Architecture,ARCH 101,1545,69%,23%,5%,1%,1%,1%,3.56,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/101
Anatomy of Buildings,ARCH 231,1110,54%,34%,7%,2%,1%,1%,3.37,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/231
Graphics for Architects,ARCH 271,1782,26%,58%,13%,1%,1%,1%,3.08,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/271
Environment Tech HVAC,ARCH 341,1105,26%,50%,18%,4%,2%,0%,2.94,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/341
Environment Tech Ltg & Acoust,ARCH 342,988,30%,51%,17%,2%,1%,0%,3.06,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/342
Statics & Dynamics,ARCH 351,1073,47%,39%,11%,2%,1%,0%,3.27,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/351
Special Topics in Spanish Arch,ARCH 409,207,34%,59%,7%,0%,0%,0%,3.25,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/409
Ancient Egyptian & Greek Arch,ARCH 410,480,33%,43%,16%,4%,4%,0%,2.98,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/410
Ancient Roman Architecture,ARCH 411,470,44%,42%,10%,1%,1%,1%,3.26,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/411
Medieval Architecture,ARCH 412,158,28%,52%,16%,1%,1%,1%,3.02,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/412
Theory & Design Steel & Timber,ARCH 451,1081,60%,25%,10%,3%,2%,0%,3.35,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/451
Overseas Architectural Studies,ARCH 468,208,62%,38%,0%,0%,0%,0%,3.57,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/468
Arch Design & Exploration,ARCH 476,151,53%,45%,2%,0%,0%,0%,3.47,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/476
Plng & Design of Struct Sys,ARCH 536,82,56%,28%,15%,0%,0%,1%,3.42,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/536
Theories of Architecture,ARCH 577,105,49%,46%,5%,0%,0%,1%,3.37,ARCH,https://courses.illinois.edu/schedule/2018/fall/ARCH/577
Understanding Visual Culture,ART 100,992,60%,31%,6%,2%,2%,1%,3.41,ART,https://courses.illinois.edu/schedule/2018/fall/ART/100
Visual Design for Non-Majors,ART 105,527,87%,10%,2%,0%,0%,0%,3.77,ART,https://courses.illinois.edu/schedule/2018/fall/ART/105
Design Thinking,ART 310,243,77%,18%,2%,1%,1%,0%,3.62,ART,https://courses.illinois.edu/schedule/2018/fall/ART/310
Industrial Design I,ARTD 201,298,37%,60%,2%,0%,0%,0%,3.33,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/201
Intro to Web Technologies,ARTD 218,89,73%,19%,2%,3%,1%,1%,3.54,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/218
Typographic Practice,ARTD 222,46,70%,24%,0%,2%,0%,4%,3.71,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/222
Design Drawing,ARTD 225,143,23%,62%,5%,4%,6%,1%,2.92,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/225
Design Thinking/Need-Finding,ARTD 230,32,97%,3%,0%,0%,0%,0%,3.86,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/230
Design Methods,ARTD 270,65,77%,22%,2%,0%,0%,0%,3.71,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/270
Human-Centered Product Design,ARTD 328,201,73%,25%,1%,0%,0%,0%,3.65,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/328
Product Innovation,ARTD 426,309,58%,36%,5%,1%,0%,0%,3.51,ARTD,https://courses.illinois.edu/schedule/2018/fall/ARTD/426
Art Exhibition Practices,ARTE 475,26,92%,8%,0%,0%,0%,0%,3.92,ARTE,https://courses.illinois.edu/schedule/2018/fall/ARTE/475
Contemporary Issues in Art,ARTF 101,1134,63%,22%,8%,4%,3%,0%,3.34,ARTF,https://courses.illinois.edu/schedule/2018/fall/ARTF/101
Art in a Global Context,ARTH 115,237,36%,54%,8%,1%,1%,0%,3.2,ARTH,https://courses.illinois.edu/schedule/2018/fall/ARTH/115
Northern Renaissance Art,ARTH 231,59,41%,53%,7%,0%,0%,0%,3.27,ARTH,https://courses.illinois.edu/schedule/2018/fall/ARTH/231
American Art,ARTH 250,59,47%,46%,5%,2%,0%,0%,3.35,ARTH,https://courses.illinois.edu/schedule/2018/fall/ARTH/250
Graffiti and Murals,ARTH 260,191,32%,47%,16%,3%,2%,0%,3.02,ARTH,https://courses.illinois.edu/schedule/2018/fall/ARTH/260
Introduction to Astronomy,ASTR 100,6824,43%,33%,15%,4%,4%,1%,3.07,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/100
Solar System and Worlds Beyond,ASTR 121,136,49%,26%,13%,4%,7%,1%,3.08,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/121
Stars and Galaxies,ASTR 122,2391,46%,33%,14%,3%,2%,1%,3.18,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/122
Killer Skies: Astro-Disasters,ASTR 150,1625,61%,28%,7%,2%,2%,0%,3.43,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/150
Introduction to Astrophysics,ASTR 210,635,41%,31%,15%,7%,5%,1%,2.95,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/210
Extraterrestrial Life,ASTR 330,1067,65%,24%,7%,2%,2%,0%,3.47,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/330
Stellar Astrophysics,ASTR 404,141,40%,33%,16%,5%,6%,0%,2.94,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/404
Galaxies and the Universe,ASTR 406,192,53%,24%,15%,5%,4%,0%,3.12,ASTR,https://courses.illinois.edu/schedule/2018/fall/ASTR/406
